Dispositivo,N° Registro,Nombre,Fecha,Hora
OF1IZQ,178908,gpinto,2017-01-03,08:11:34
OF1IZQ,178909,fquisbert,2017-01-03,08:11:41
OF1IZQ,178910,fquisbert,2017-01-03,08:11:43
OF1IZQ,178911,mgutierrez,2017-01-03,08:11:49
OF1IZQ,178912,dparraga,2017-01-03,08:13:07
OF1IZQ,178913,rmartinez,2017-01-03,08:16:56
OF1IZQ,178914,scriales,2017-01-03,08:18:06
OF1IZQ,178915,vpacoricona,2017-01-03,08:18:14
OF1IZQ,178916,imamani,2017-01-03,08:22:15
OF1IZQ,178917,almamani,2017-01-03,08:25:15
OF1IZQ,178918,elima,2017-01-03,08:27:52
OF1IZQ,178919,pzenteno,2017-01-03,08:28:01
OF1IZQ,178920,pzenteno,2017-01-03,08:28:06
OF1IZQ,178921,imaldonado,2017-01-03,08:28:49
OF1IZQ,178922,irioja,2017-01-03,08:28:55
OF1IZQ,178923,aalvarado,2017-01-03,08:29:59
OF1IZQ,178924,mmamani,2017-01-03,08:30:11
OF1IZQ,178925,calvarado,2017-01-03,08:31:34
OF1IZQ,178926,cmorales,2017-01-03,08:31:40
OF1IZQ,178927,vdonaire,2017-01-03,08:31:44
OF1IZQ,178928,kmuruchi,2017-01-03,08:31:49
OF1IZQ,178929,avillarreal,2017-01-03,08:32:37
OF1IZQ,178930,cmacuchapi,2017-01-03,08:34:20
OF1IZQ,178931,jarteaga,2017-01-03,08:34:25
OF1IZQ,178932,hlopez,2017-01-03,08:34:30
OF1IZQ,178933,jtorrez,2017-01-03,08:36:09
OF1IZQ,178934,gvargas,2017-01-03,08:36:19
OF1IZQ,178935,jloza,2017-01-03,08:37:11
OF1IZQ,178936,mlaura,2017-01-03,08:37:16
OF1IZQ,178937,ncolomo,2017-01-03,08:38:39
OF1IZQ,178938,mlizarazu,2017-01-03,08:39:36
OF1IZQ,178939,emendoza,2017-01-03,08:41:15
OF1IZQ,178940,jcondori,2017-01-03,08:41:20
OF1IZQ,178941,szapata,2017-01-03,08:43:50
OF1IZQ,178942,irioja,2017-01-03,08:44:17
OF1IZQ,178943,nantezana,2017-01-03,08:45:02
OF1IZQ,178944,frojas,2017-01-03,08:45:57
OF1IZQ,178945,nhuasebe,2017-01-03,08:46:52
OF1IZQ,178946,equiroz,2017-01-03,08:50:34
OF1IZQ,178947,rmolina,2017-01-03,12:00:10
OF1IZQ,178948,imaldonado,2017-01-03,12:03:15
OF1IZQ,178949,dparraga,2017-01-03,12:03:46
OF1IZQ,178950,eonis,2017-01-03,12:05:30
OF1IZQ,178951,jtorrez,2017-01-03,12:05:59
OF1IZQ,178952,dpenaranda,2017-01-03,12:06:49
OF1IZQ,178953,lpillco,2017-01-03,12:07:03
OF1IZQ,178954,ssaavedra,2017-01-03,12:07:08
OF1IZQ,178955,avillarreal,2017-01-03,12:07:12
OF1IZQ,178956,rguevara,2017-01-03,12:08:56
OF1IZQ,178957,aalvarado,2017-01-03,12:09:01
OF1IZQ,178958,emendoza,2017-01-03,12:09:23
OF1IZQ,178959,jcondori,2017-01-03,12:09:30
OF1IZQ,178960,dantezana,2017-01-03,12:09:35
OF1IZQ,178961,jramos,2017-01-03,12:09:38
OF1IZQ,178962,irioja,2017-01-03,12:10:20
OF1IZQ,178963,agruich,2017-01-03,12:10:47
OF1IZQ,178964,cmorales,2017-01-03,12:10:54
OF1IZQ,178965,mottich,2017-01-03,12:12:03
OF1IZQ,178966,jpoma,2017-01-03,12:12:07
OF1IZQ,178967,mmeruvia,2017-01-03,12:12:36
OF1IZQ,178968,irioja,2017-01-03,12:12:55
OF1IZQ,178969,ncolomo,2017-01-03,12:13:00
OF1IZQ,178970,jarteaga,2017-01-03,12:14:03
OF1IZQ,178971,nantezana,2017-01-03,12:14:28
OF1IZQ,178972,nhuasebe,2017-01-03,12:14:32
OF1IZQ,178973,kmuruchi,2017-01-03,12:14:38
OF1IZQ,178974,kmuruchi,2017-01-03,12:14:40
OF1IZQ,178975,rquispe,2017-01-03,12:15:26
OF1IZQ,178976,jloza,2017-01-03,12:19:25
OF1IZQ,178977,almamani,2017-01-03,12:19:29
OF1IZQ,178978,gpinto,2017-01-03,12:19:35
OF1IZQ,178979,cmacuchapi,2017-01-03,12:21:05
OF1IZQ,178980,scriales,2017-01-03,12:21:10
OF1IZQ,178981,gvargas,2017-01-03,12:24:57
OF1IZQ,178982,vdonaire,2017-01-03,12:25:07
OF1IZQ,178983,frojas,2017-01-03,12:27:50
OF1IZQ,178984,hlopez,2017-01-03,12:27:55
OF1IZQ,178985,vmendez,2017-01-03,12:30:21
OF1IZQ,178986,elima,2017-01-03,12:32:37
OF1IZQ,178987,rmartinez,2017-01-03,12:37:13
OF1IZQ,178988,pzenteno,2017-01-03,12:40:02
OF1IZQ,178989,pzenteno,2017-01-03,12:40:11
OF1IZQ,178990,rescobar,2017-01-03,12:42:04
OF1IZQ,178991,mlaura,2017-01-03,12:42:09
OF1IZQ,178992,imamani,2017-01-03,12:53:25
OF1IZQ,178993,almamani,2017-01-03,13:33:25
OF1IZQ,178994,scriales,2017-01-03,13:38:48
OF1IZQ,178995,cmacuchapi,2017-01-03,13:39:17
OF1IZQ,178996,gpinto,2017-01-03,13:39:39
OF1IZQ,178997,jloza,2017-01-03,13:39:42
OF1IZQ,178998,imamani,2017-01-03,13:45:38
OF1IZQ,178999,emendoza,2017-01-03,13:46:10
OF1IZQ,179000,jarteaga,2017-01-03,13:46:19
OF1IZQ,179001,jcondori,2017-01-03,13:46:26
OF1IZQ,179002,frojas,2017-01-03,14:01:18
OF1IZQ,179003,mlaura,2017-01-03,14:04:10
OF1IZQ,179004,rquispe,2017-01-03,14:05:48
OF1IZQ,179005,rguevara,2017-01-03,14:09:40
OF1IZQ,179006,equiroz,2017-01-03,14:12:36
OF1IZQ,179007,rmartinez,2017-01-03,14:13:02
OF1IZQ,179008,hlopez,2017-01-03,14:17:02
OF1IZQ,179009,lpillco,2017-01-03,14:22:43
OF1IZQ,179010,irioja,2017-01-03,14:22:48
OF1IZQ,179011,vdonaire,2017-01-03,14:25:12
OF1IZQ,179012,mgutierrez,2017-01-03,14:29:08
OF1IZQ,179013,nhuasebe,2017-01-03,14:29:14
OF1IZQ,179014,dparraga,2017-01-03,14:29:56
OF1IZQ,179015,pzenteno,2017-01-03,14:31:46
OF1IZQ,179016,jramos,2017-01-03,14:32:30
OF1IZQ,179017,vpacoricona,2017-01-03,14:33:45
OF1IZQ,179018,imaldonado,2017-01-03,14:34:21
OF1IZQ,179019,avillarreal,2017-01-03,14:37:08
OF1IZQ,179020,jtorrez,2017-01-03,14:37:12
OF1IZQ,179021,nantezana,2017-01-03,14:38:49
OF1IZQ,179022,kmuruchi,2017-01-03,14:38:52
OF1IZQ,179023,calvarado,2017-01-03,14:40:06
OF1IZQ,179024,gvargas,2017-01-03,14:40:11
OF1IZQ,179025,aalvarado,2017-01-03,14:40:15
OF1IZQ,179026,szapata,2017-01-03,16:07:02
OF1IZQ,179027,vmendez,2017-01-03,16:37:32
OF1IZQ,179028,imamani,2017-01-03,18:02:52
OF1IZQ,179029,dparraga,2017-01-03,19:00:50
OF1IZQ,179030,vdonaire,2017-01-03,19:04:17
OF1IZQ,179031,ssaavedra,2017-01-03,19:09:58
OF1IZQ,179032,mottich,2017-01-03,19:10:10
OF1IZQ,179033,aalvarado,2017-01-03,19:14:49
OF1IZQ,179034,irioja,2017-01-03,19:29:20
OF1IZQ,179035,calvarado,2017-01-03,19:30:46
OF1IZQ,179036,rquispe,2017-01-03,19:30:51
OF1IZQ,179037,rmolina,2017-01-03,19:32:04
OF1IZQ,179038,cmacuchapi,2017-01-03,19:32:30
OF1IZQ,179039,ncolomo,2017-01-03,19:33:09
OF1IZQ,179040,nantezana,2017-01-03,19:36:56
OF1IZQ,179041,kmuruchi,2017-01-03,19:37:14
OF1IZQ,179042,frojas,2017-01-03,19:39:45
OF1IZQ,179043,mlandaeta,2017-01-03,19:39:51
OF1IZQ,179044,gvargas,2017-01-03,19:40:29
OF1IZQ,179045,lpillco,2017-01-03,19:42:18
OF1IZQ,179046,dpenaranda,2017-01-03,19:42:31
OF1IZQ,179047,jcondori,2017-01-03,19:42:57
OF1IZQ,179048,avillarreal,2017-01-03,19:46:18
OF1IZQ,179049,almamani,2017-01-03,19:47:32
OF1IZQ,179050,imaldonado,2017-01-03,19:49:30
OF1IZQ,179051,szapata,2017-01-03,19:50:35
OF1IZQ,179052,jtorrez,2017-01-03,19:53:37
OF1IZQ,179053,pzenteno,2017-01-03,19:53:41
OF1IZQ,179054,eonis,2017-01-03,19:55:30
OF1IZQ,179055,nhuasebe,2017-01-03,19:59:18
OF1IZQ,179056,mgutierrez,2017-01-03,20:02:09
OF1IZQ,179057,gpinto,2017-01-03,20:05:11
OF1IZQ,179058,scriales,2017-01-03,20:06:41
OF1IZQ,179059,rvallejos,2017-01-03,20:07:00
OF1IZQ,179060,rmartinez,2017-01-03,20:09:14
OF1IZQ,179061,emendoza,2017-01-03,20:14:53
OF1IZQ,179062,jloza,2017-01-03,20:15:11
OF1IZQ,179063,jpoma,2017-01-03,20:15:29
